Alfa Romeo;Alfa Romeo 146 5D;1995;2000;2031LGNH5FD;2500;1;Премиум Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 146 5D;1995;2000;2031RGNH5FD;2500;1;Премиум Класс;перед.дв.опускн.прав.;;;;;;;
Alfa Romeo;Alfa Romeo 147 3D;2000;3000;2037LGSH3FDW;2700;1;OEM Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 147 3D;2000;3000;2037RGSH3FDW;2700;1;OEM Класс;перед.дв.опускн.прав.;;;;;;;
Alfa Romeo;Alfa Romeo 147 5D;2000;3000;2037LGSH5FDW;2500;1;Премиум Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 147 5D;2000;3000;2037LGSH5FDW;2500;1;Премиум Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 147 5D;2000;3000;2037RGSH5FDW;2500;1;Премиум Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 156 .;1997;3000;2034LGNS4FDW;2850;1;Премиум Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 156 .;1997;3000;2034RGNS4FDW;2500;0;Премиум Класс;перед.дв.опускн.прав.;;;;;;;
Alfa Romeo;Alfa Romeo 156 .;1997;3000;2034RGNS4RDW;2500;1;Премиум Класс;ст.задн.дв.оп.прав.;;;;;;;
Alfa Romeo;Alfa Romeo 164 LIM.;1987;1998;2027LGSS4FD;2150;1;Премиум Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 164 LIM.;1987;1998;2027RGNS4FD;2150;1;Премиум Класс;перед.дв.опускн.прав.;;;;;;;
Alfa Romeo;Alfa Romeo 166 LIM.;1998;3000;2036LGSS4FD;2800;1;OEM Класс;перед.дв.опускн.лев.;;;;;;;
Alfa Romeo;Alfa Romeo 166 LIM.;1998;3000;2036RGSS4FD;2800;1;OEM Класс;перед.дв.опускн.прав.;;;;;;;
AUDI  ;AUDI 80 III + 90, 4T;1979;1986;8526LGNS4RD;1500;1;Премиум Класс;ст.задн.дв.оп.лев.;
AUDI  ;AUDI 80 III + 90, 4T;1979;1986;8526LCLS4RD;1500;1;Премиум Класс;ст.задн.дв.оп.лев.;
AUDI  ;AUDI 80 III + 90, 4T;1979;1986;8526RCLS4RD;1500;1;Премиум Класс;ст.задн.дв.оп.прав.;
AUDI  ;AUDI 80 QUATTRO CPE;1989;1995;8539LGNC2FD;3000;1;Премиум Класс;перед.дв.опускн.лев.;
AUDI  ;AUDI 80 IV + 90, 4T+AVANT;1986;1994;8534LGNS4FD;2500;0;Премиум Класс;перед.дв.опускн.лев.;
AUDI  ;AUDI 80 IV + 90, 4T+AVANT;1986;1994;8534RGNS4FD;2300;1;Премиум Класс;перед.дв.опускн.прав.;
AUDI  ;AUDI 80 IV + 90, 4T;1986;1994;8534LGNS4RD;2000;1;Эконом Класс;ст.задн.дв.оп.лев.;
AUDI  ;AUDI 80 IV + 90, 4T;1986;1994;8534RGNS4RD;2000;1;Эконом Класс;ст.задн.дв.оп.прав.;
AUDI  ;AUDI 80 IV + 90, 4T;1986;1991;8534LGNS4RQ;1000;0;Эконом Класс;ст.куз.глухое лев.;
AUDI  ;AUDI 80 IV + 90, 4T;1986;1991;8534RGNS4RQ;1000;1;Эконом Класс;ст.куз.глухое прав.;
AUDI  ;AUDI 100 III/200, 4T, LIM;1982;1991;8532LGNS4FD;3000;1;Премиум Класс;перед.дв.опускн.лев.;
AUDI  ;AUDI 100 III/200, 4T, LIM.;1982;1991;8532RCLS4FD;2800;1;Премиум Класс;перед.дв.опускн.прав.  ;
AUDI  ;AUDI 100 III/200, 4T, LIM.;1982;1991;8532RGNS4FDW;2800;2;Премиум Класс;перед.дв.опускн.прав.;
AUDI  ;AUDI 100 III/200, 4T, LIM.;1982;1991;8532LGNS4RD;2700;1;Премиум Класс;ст.задн.дв.оп.лев.;
AUDI  ;AUDI 100 III/200, 4T, LIM.;1982;1991;8532RGNS4RD;2700;1;Премиум Класс;ст.задн.дв.оп.прав.;
AUDI  ;AUDI 100 III/200, 4T, LIM.;1982;1991;8532RCLS4RQ;1700;1;OEM Класс;ст.куз.глухое лев.;
AUDI  ;AUDI 100 III/200, 4T, LIM.;1982;1991;8532RCLS4RQ;1800;1;OEM Класс;ст.куз.глухое прав.;
AUDI  ;AUDI 100 IV + A6, 4T, LIM.;1991;1997;8540LGNS4FD;2500;1;Бизнес Класс;перед.дв.опускн.лев.;
AUDI  ;AUDI 100 IV + A6, 4T, LIM.;1991;1997;8540RGNS4FD;2500;1;Премиум Класс;перед.дв.опускн.прав.;
AUDI  ;AUDI 100 IV + A6, 4T, LIM.;1991;1997;8540RGNS4FD;2500;0;Премиум Класс;перед.дв.опускн.прав.;
AUDI  ;AUDI 100 IV + A6, 4T, LIM.;1991;1997;8540LGNS4RD;2500;0;Премиум Класс;ст.задн.дв.оп.лев.;
AUDI  ;AUDI 100 IV + A6, 4T, LIM.;1991;1997;8540RGNS4RD;2500;1;Премиум Класс;ст.задн.дв.оп.прав.;
AUDI  ;AUDI 100 IV + A6, 4T, LIM.;1991;1997;8540LGNS4RQ;800;1;Эконом Класс;ст.куз.глухое лев.;
AUDI  ;AUDI A2;2000;3000;8562LGSH5FD;2300;1;Премиум Класс;перед.дв.опускн.лев.;
