Alfa Romeo;Alfa Romeo 156 4T;1997;3000;2034BGNSAW;3600;1;Средний Класс;;;;;
Alfa Romeo;Alfa Romeo 147 3/5T;2000;3000;2037BGSHBW;3400;1;Средний Класс;;;;;
Alfa Romeo;Alfa Romeo 166 LIM;1998;3000;2036BGSSAW;9500;1;Премиум Класс;;;;;
AUDI;AUDI 80 II LIM.+ANT;1986;1991;8534BGNSA;4800;0;Премиум Класс;;;;;
AUDI;AUDI 80 III LIM.;1991;1994;8534BGNSA2B;3700;1;Эконом Класс;;;;;
AUDI;AUDI 80 III AVANT в кассете;1992;1994;8534BGNEZ;10000;1;OEM Класс;;;;;
AUDI;AUDI 100 III LIM.;1983;1991;8532BGNSA;6100;1;Эконом Класс;;;;;
AUDI;AUDI 100 III универсал;1983;1991;8532BGNE;6500;1;Эконом Класс;;;;;
AUDI;AUDI 100 IV +(A6 -95) LIM.;1991;1997;8540BGNSA;4100;1;Эконом Класс;;;;;
AUDI;AUDI 100 IV +(A6 -95) LIM.;1991;1997;8540BGNSA;4100;1;Эконом Класс;;;;;
AUDI;AUDI 100 IV +(A6 -95) LIM.;1991;1997;8540BGNSA;6500;1;Премиум Класс;;;;;
AUDI;AUDI 100 IV +(A6 -95) LIM.;1991;1997;8540BGNSA;6000;1;Премиум Класс;;;;;
AUDI;AUDI 100 IV +(A6 -95) LIM.;1991;1997;8540BGNSA;6000;1;Бизнес Класс;;;;;
AUDI;AUDI 100 IV +(A6 -95) AVANT;1992;1997;8540BGNE;5500;0;Эконом Класс;;;;;
AUDI;AUDI A3 3D/5D;1996;2003;8554BGNHBZ;9800;1;Бизнес Класс
AUDI;AUDI A3 3D/5D;1996;2003;8554BGNHBZ;9800;1;Бизнес Класс
AUDI;AUDI A3 3T;2003;3000;8580BGSHAG1E;5500;1;Эконом Класс
AUDI;AUDI A3 3T;2003;3000;8580BGSHAGZ1F;11200;1;Премиум Класс
AUDI;AUDI A3 5d универ.;2003;3000;8580BGSEAGJX;5500;1;Эконом Класс
AUDI;AUDI A3 5d универ.;2003;3000;8580BGSEAGJXW;7600;1;Премиум Класс
AUDI;Audi A5/S5 Coupe/Sportback;2008;2010;8592BGSHA1F;10000;1;OEM Класс
AUDI;AUDI A4, LIM.;1994;1997;8547BGNSA;3500;1;Эконом Класс
AUDI;AUDI A4, LIM.;1994;1997;8547BGNSA;5250;0;Премиум Класс
AUDI;AUDI A4, LIM.;1997;2000;8547BGNSA1Y;5750;1;Премиум Класс
AUDI;AUDI A4 /S4/RS4 5D Avant без кассеты;1996;2001;8547BGNE;3800;1;Средний Класс
AUDI;AUDI A4, LIM.;2001;2007;8572BGSS;4200;1;Эконом Класс
AUDI;AUDI A4, LIM. в кассете;2004;2007;8572BGSSAGPW;6950;1;OEM Класс
AUDI;AUDI A4 AVANT;2001;2007;8572BGSEA;3800;1;Эконом Класс
AUDI;AUDI A4 AVANT отв+ant;2001;2004;8572BGSEAGPW;1;1;OEM Класс
AUDI;AUDI A4 AVANT отв+ant темно зеленое;2001;2004;8572BGYEAGPW;7000;1;OEM Класс
AUDI;AUDI A4 AVANT отв+ant темно зеленое;2001;2004;8572BGYEAGPW;7000;1;OEM Класс
AUDI;AUDI A4, LIM.;2007;3000;8589BGSSA;4400;1;Эконом Класс
AUDI;AUDI A4, LIM.;2007;3000;8589BGNSABW;6200;1;Премиум Класс
AUDI;AUDI A4, универсал;2007;3000;8589BGNEAW;11700;1;Премиум Класс
AUDI;AUDI A5, купе;2007;3000;8592BGSSAW;7800;1;Премиум Класс
AUDI;AUDI A6 LIM. молдинг;1996;2004;8557BGNSZ;4500;1;Эконом Класс
AUDI;AUDI A6 LIM. в кассете;1996;1998;8557BGNSAGZ;9900;1;OEM Класс
AUDI;AUDI A6 LIM. в кассете;1998;2004;8557BGNSAGZ;9550;1;OEM Класс
AUDI;AUDI A6 AVANT;1998;2004;8565BGNE;4600;0;Эконом Класс
AUDI;AUDI A6 AVANT;1998;3000;8565BGNEZ;9000;1;OEM Класс
AUDI;AUDI A6 LIM. NEW;2004;3000;8582BGSSABGJP;4000;1;Эконом Класс
AUDI;AUDI A6 LIM. NEW;2004;3000;8582BGSSABGJPZ;11400;1;Премиум Класс
AUDI;AUDI A6 AVANT;2005;2004;8582BGNE;4000;1;Эконом Класс
AUDI;AUDI A6 AVANT;2005;3000;8582BGSEABGJPZ;11700;1;OEM Класс
AUDI;AUDI A7;2011;3000; ;9350;1;OEM Класс
AUDI;AUDI A8 LIM. Сталенит;1994;2002;8546BGNS;4200;0;Средний Класс
AUDI;AUDI A8 LIM. трипл;1994;2000;8546BGNSAK;8500;1;Эконом Класс
AUDI;AUDI A8 LIM. Сталенит;1994;2002;8546BGNSA;19000;1;OEM Класс
AUDI;AUDI A8 LIM.;2002;3000;8578BGNSA;4500;1;Эконом Класс
