;;AUDI 100 44 82-91;;;;;;
443823029F;AU1100150-0000;йюонр;;;;API;4 266;2
443821106B;AU1100160-0R00;йпшкн оепедмее опюбне;;;;API;1 485;3
443807243C;AU01-N000B;мюйкюдйх бепумхе мю аюлоеп вепмше ЙНЛОКЕЙР йХРЮИ;;;;NORDEN;270;25
443805571;AU1100090-0000;оюмекэ оепедмъъ;;;;API;1 350;1
443121253A;AI2019;пюдхюрнп 570x308 1,9/2,0/2,1/2,2/2,3/2,0D;;;;AKS;1 503;4
443121253C;AI2051;пюдхюрнп 670У270  1,8  4 ЖХКХМДПЮ;;;;AKS;1 503;5
443819031C;AI6052;пюдхюрнп оевйх ЮККЧЛХМХЕБШИ йХРЮИ;;;;AKS;450;3
443853667;AU01-R000;пеьерйю мхфмъъ йХРЮИ;;;;NORDEN;252;12
443805817;AU01-S000-L;яоникеп оепедмхи кебши йХРЮИ;;;;NORDEN;162;24
;VM-802GR;ярейкн гепйюкю опюбне ЯТЕПХВЕЯЙНЕ;;;;VIEW MAX;342;1
443941029E;BR301131955L;ярейкн тюпш кебни;;;;юЯРЕПЮ;234;1
443941699F;BR301125464L;ярейкн тюпш опнрхбнрслюммни кебне;;;;юЯРЕПЮ;144;4
443941700F;BR302125464R;ярейкн тюпш опнрхбнрслюммни опюбне;;;;юЯРЕПЮ;144;1
443953050E;AUD4898;сйюгюрекэ онбнпнрю опюбши РНМХПНБЮММШИ;;;;NONAME;342;6
443941029E;441-1108L-LD-E;тюпю кебюъ;;;;DEPO;1 053;7
443941699F;AU01-0200-L;тюпю опнрхбнрслюммюъ кебюъ йХРЮИ;;;;NORDEN;198;1
;;AUDI 100 45 10.90-5.94;;;;;;
4A0807103ALGRU;AU02-0000;аюлоеп оепедмхи АЕГ МЮЙКЮДНЙ йХРЮИ;;;;NORDEN;3 150;25
4A0863821;AU02-0010;гюыхрю йюпрепю йХРЮИ;;;;NORDEN;459;25
4A1857502H;VM-801EHR;гепйюкн опюбне ЩКЕЙРП. Я ОНДНЦПЕБНЛ VIEW MAX;;;;VIEW MAX;1 512;9
4A0823029C;AU1200150-0000;йюонр;;;;API;6 939;6
4A0821105;AU1200160-0L00;йпшкн оепедмее кебне;;;;API;3 213;6
443821106;AU1200160-0R00;йпшкн оепедмее опюбне;;;;API;3 213;20
4A0807222;AU02-N000-L;мюйкюдйю мю аюлоеп кебюъ йХРЮИ;;;;NORDEN;252;25
4A0807287;AU02-R000-C;мюйкюдйю онд цнямнлеп йХРЮИ;;;;NORDEN;252;23
443819031C;AI6052;пюдхюрнп оевйх ЮККЧЛХМХЕБШИ йХРЮИ;;;;AKS;450;3
4A0853651;AU02-0930;пеьерйю аег щлакелш йХРЮИ;;;;NORDEN;324;13
4A0853684A;AU02-R000-R;пеьерйю б аюлоепе анйнбюъ ОНД О/РСЛ йХРЮИ;;;;NORDEN;162;25
4A0941029;AU02-0110-L;тюпю кебюъ йХРЮИ;;;;NORDEN;792;12
4A0941029;441-1113L-LD-E;тюпю кебюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;1 251;4
4A0941030;AU02-0110-R;тюпю опюбюъ йХРЮИ;;;;NORDEN;792;19
4A0941030;441-1113R-LD-E;тюпю опюбюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;1 251;8
4A5945217B;AU02-0191-L;тнмюпэ мюпсфмши кебши ЙПЮЯМШИ йХРЮИ;;;;NORDEN;459;4
;;AUDI 80 B2 8.78-9.86;;;;;;
893121253;AI2028;пюдхюрнп 430У322 1.3/1.6/1.8;;;;AKS;981;5
171819031D;VW6061;пюдхюрнп оевйх йХРЮИ;;;;AKS;459;24
;BR301129179L;ярейкн тюпш кебне 79-84;;;;юЯРЕПЮ;198;1
;;AUDI 80 B3 10.86-8.91;;;;;;
8A0805577;AU2200270-0000;аюкйю оепедмъъ мхфмъъ 4 ЖХКХМДПЮ;;;;API;594;9
8938070853FA;AU2200870-0000;аюлоеп гюдмхи;;;;API;3 762;4
893863821;AU05-0010;гюыхрю йюпрепю йХРЮИ;;;;NORDEN;450;19
893857508A;AU05-500E-R;гепйюкн опюбне ЩКЕЙРП йХРЮИ;;;;NORDEN;1 089;3
893823029A;AU2200150-0000;йюонр;;;;API;3 465;25
893853957B;AU05-9000;лнкдхмцх мю дбепх йнлокейр 6ЬР. йХРЮИ;;;;NORDEN;540;25
893805855A;AU220009S-0L00;оюмекэ оепедмъъ кебюъ;;;;API;324;11
893805856A;AU220009S-0R00;оюмекэ оепедмъъ опюбюъ;;;;API;324;6
893805591;AU220009U-0000;оюмекэ оепедмъъ япедмъъ;;;;API;441;1
893821171;AU220016L-0L00;ондйпшкнй оепедмхи кебши;;;;API;450;15
893821172;AU220016L-0R00;ондйпшкнй оепедмхи опюбши;;;;API;459;20
893853201;AU2200110-0000;онкняйю онд тюпш;;;;API;468;22
893121253;AI2028;пюдхюрнп 430У322 1.3/1.6/1.8;;;;AKS;981;5
893121253A;AI2047;пюдхюрнп 590У322 1.6/1,8/1,9/2,0;;;;AKS;1 278;7
893853201;AU05-R930;пюлйю пеьерйх упнл йХРЮИ;;;;NORDEN;270;25
893853368;AU05-R000-R;пеьерйю б аюлоепе опюбюъ йХРЮИ;;;;NORDEN;252;3
893853667;AU05-R000-C;пеьерйю б аюлоепе жемрпюкэмюъ йХРЮИ;;;;NORDEN;450;10
893853655A01C;AU05-0930;пеь╗рйю йХРЮИ;;;;NORDEN;198;25
;VM-800GL;ярейкн гепйюкю кебне;;;;VIEW MAX;594;3
893941029H;BR002132891L;ярейкн тюпш кебне;;;;юЯРЕПЮ;153;7
893941030H;BR002132892R;ярейкн тюпш опюбне;;;;юЯРЕПЮ;153;9
893953049;441-1505L-UE-C;сйюгюрекэ онбнпнрю кебши АЕКШИ;;;;DEPO;126;25
893953049;441-1505L-UE-Y;сйюгюрекэ онбнпнрю кебши ФЕКРШИ;;;;DEPO;198;25
893953050;441-1505R-UE-C;сйюгюрекэ онбнпнрю опюбши АЕКШИ;;;;DEPO;126;25
893953050;441-1505R-UE-Y;сйюгюрекэ онбнпнрю опюбши ФЕКРШИ;;;;DEPO;198;25
893941029H;AUD2281;тюпю к+оп+сй.онбнпнрнб рчмхмц ОПНГПЮВМШЕ;;;;NONAME;4 113;1
893941029;AU05-0110-L;тюпю кебюъ йХРЮИ;;;;NORDEN;513;22
893941029H;441-1107L-LD-EM;тюпю кебюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;819;25
893941030;AU05-0110-R;тюпю опюбюъ йХРЮИ;;;;NORDEN;513;25
893941030H;441-1107R-LD-EM;тюпю опюбюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;819;25
893941699;441-2030L-UE;тюпю опнрхбнрслюммюъ кебюъ;;;;DEPO;918;12
893941700;441-2030R-UE;тюпю опнрхбнрслюммюъ опюбюъ;;;;DEPO;918;8
893945225B;AU05-0131-L;тнмюпэ бмсрпеммхи кебши ЙПЮЯМШИ йХРЮИ;;;;NORDEN;450;6
;;AUDI 80 B4 9.91-;;;;;;
8A0805577;AU2200270-0000;аюкйю оепедмъъ мхфмъъ 4 ЖХКХМДПЮ;;;;API;594;9
BG0823029A;AU2300150-0000;йюонр;;;;API;5 769;25
8A0821105;AU2300160-1L00;йпшкн оепедмее кебне;;;;API;1 278;6
8A0821106;AU2300160-1R00;йпшкн оепедмее опюбне;;;;API;1 278;4
8A0807424A01C;AU230087M-0000;лнкдхмц аюлоепю гюдмецн ЖЕМРПЮКЭМШИ;;;;API;585;10
4A0807422A01C;AU230087M-0R00;лнкдхмц гюдмецн аюлоепю опюбши;;;;API;405;10
8A0853207A;AU2300930-0L00;мюйкюдйю онд тюпс кебюъ;;;;API;153;25
8A0853208A;AU2300930-0R00;мюйкюдйю онд тюпс опюбюъ;;;;API;153;25
8G0805591B;AU230009U-0000;оюмекэ оепедмъъ япедмъъ;;;;API;405;13
893121253A;AI2047;пюдхюрнп 590У322 1.6/1,8/1,9/2,0;;;;AKS;1 278;7
8G0853651G2ZZ;AU2300930-0000;пеь╗рйю В╦ПМЮЪ+УПНЛ;;;;API;1 620;4
8A0941699;BR301132521L;ярейкн тюпш опнрхбнрслюммни кебне;;;;юЯРЕПЮ;153;4
8A0941700;BR301132522R;ярейкн тюпш опнрхбнрслюммни опюбне;;;;юЯРЕПЮ;153;5
893953049;441-1505L-UE-C;сйюгюрекэ онбнпнрю кебши АЕКШИ;;;;DEPO;126;25
893953049;441-1505L-UE-Y;сйюгюрекэ онбнпнрю кебши ФЕКРШИ;;;;DEPO;198;25
893953050;441-1505R-UE-C;сйюгюрекэ онбнпнрю опюбши АЕКШИ;;;;DEPO;126;25
893953050;441-1505R-UE-Y;сйюгюрекэ онбнпнрю опюбши ФЕКРШИ;;;;DEPO;198;25
301075611;441-1131L-LD-E;тюпю  кебюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;891;9
301075612;441-1131R-LD-E;тюпю  опюбюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;891;25
8A0941699;441-2027L-UE;тюпю опнрхбнрслюммюъ кебюъ;;;;DEPO;981;25
893941699;AU06-0200-L;тюпю опнрхбнрслюммюъ кебюъ йХРЮИ;;;;NORDEN;540;25
8A0941699;441-2027R-UE;тюпю опнрхбнрслюммюъ опюбюъ;;;;DEPO;981;25
893941700;AU06-0200-R;тюпю опнрхбнрслюммюъ опюбюъ йХРЮИ;;;;NORDEN;540;25
8A0945217;441-1913L-UE;тнмюпэ мюпсфмши кебши;;;;DEPO;612;3
8A0945218;441-1913R-UE;тнмюпэ мюпсфмши опюбши;;;;DEPO;612;24
;;AUDI A3 1996/9-;;;;;;
8L0807111B;AU0600000-1000;аюлоеп оепедмхи ЦПСМР.;;;;API;1 782;7
8L0823029A;AU0600150-0100;йюонр;;;;API;3 240;2
8L0821105;AU0600160-0L00;йпшкн оепедмее кебне ЖХМЙ;;;;API;1 566;1
8L0 805 594A;AU0600090-0000;оюмекэ оепедмъъ -2000;;;;API;2 178;6
8L0807110B;AU0600130-0000;яоникеп мхфмхи;;;;API;855;16
8LD941029;441-1126L-LD-EM;тюпю кебюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;1 296;8
1EF963030271;441-1126L-LDEMF;тюпю кебюъ Я РСЛЮМЙНИ ЛЕУ./ЩКЕЙРП.;;;;DEPO;1 719;2
8LD941030;441-1126R-LD-EM;тюпю опюбюъ ЛЕУ./ЩКЕЙРП.;;;;DEPO;1 296;2
1EF963030281;441-1126R-LDEMF;тюпю опюбюъ Я РСЛЮМЙНИ ЛЕУ./ЩКЕЙРП.;;;;DEPO;1 566;6
;;AUDI A3 2004-;;;;;;
8P0941700A;441-2029R-UE;тюпю опнрхбнрслюммюъ опюбюъ;;;;DEPO;828;8
;;AUDI A3 2009-;;;;;;
8P0823029E;AU0700150-2000;йюонр;;;;API;3 600;4
8P0821105E;AU0700160-1L00;йпшкн оепедмее кебне;;;;API;1 791;3
8P0821106E;AU0700160-1R00;йпшкн оепедмее опюбне;;;;API;1 791;4
8E0941700C;446-2002R-UQ;тюпю опнрхбнрслюммюъ опюбюъ;;;;DEPO;909;2
;;AUDI A4 1994-;;;;;;
4A18575083FZ;VM-039EHR;гепйюкн опюбне ЩКЕЙРП. Я ОНДНЦПЕБНЛ;;;;VIEW MAX;1 269;1
8D0823029;AU2400150-0000;йюонр ЖХМЙ. 94-98;;;;API;3 888;10
8D0821105;AU2400160-0L00;йпшкн оепедмее кебне 94- Я НРБ;;;;API;963;2
8D0821105K;AU2400160-2L00;йпшкн оепедмее кебне я нрб. о/о+онд лнкдхмц бепу+мхг/аег щлакелш 98-99;;;;API;864;6
8D0821106;AU2400160-0R00;йпшкн оепедмее опюбне 94- Я НРБ;;;;API;963;4
8D0821106J;AU2400160-2R00;йпшкн оепедмее опюбне я нрб. о/о +онд лнк- дхмц бепу+мхг/аег щлакелш 98-99;;;;API;864;6
